analysis,group,n,mean,sd,se,ci_low,ci_high,welch_t,p
sliding_window,ASD,119,0.0452098031754563,,,,,-2.599003771067935,0.0099387987916391
sliding_window,TD,119,0.0804662494917207,,,,,-2.599003771067935,0.0099387987916391
nonoverlapping_2s_epoch,ASD,119,0.0863967259036281,,,,,-2.3799520873990807,0.0181117163317081
nonoverlapping_2s_epoch,TD,119,0.1363810978335927,,,,,-2.3799520873990807,0.0181117163317081
