event_type,n_total,n_asd,n_td,pearson_r,pearson_p,spearman_rho,shared_variance_pct,raw_mean_z_asd,raw_mean_z_td,raw_mean_r_asd,raw_mean_r_td,raw_t,raw_p,raw_cohen_d_asd_minus_td,envelope_adjusted_group_beta_z,envelope_adjusted_group_se,envelope_adjusted_group_p,envelope_covariate_beta,envelope_covariate_p,ancova_r2,partial_cohen_d,effect_retained_pct,adj_mean_z_td_at_mean_env,adj_mean_z_asd_at_mean_env,adj_mean_r_td_at_mean_env,adj_mean_r_asd_at_mean_env,envelope_adjusted_group_fdr_p
mental,136,58,78,0.3243651166777189,0.000116920401277,0.3044224989265779,10.521272891735023,0.0674432774827369,0.0850001196887631,0.0673412057917089,0.0847960003768608,-0.7582836347039471,0.4498155085968643,-0.1332996889710361,0.0024721818247185,0.0223363277272692,0.9120370536386648,0.2002878003099803,0.0001679436549957,0.1052951361688413,0.0198738494194047,14.9091491306653,0.0764583300285926,0.0789305118533112,0.0763096889491415,0.0787670062596892,0.9120370536386648
pain,136,58,78,0.2752912536446972,0.0011798852061974,0.278879824435857,7.578527433326901,0.0206381946168691,0.1336839385996507,0.0206352649390044,0.1328932177891654,-4.892282932929655,3.496179664081898e-06,-0.8733950948536752,-0.0980332598003362,0.0234946440330149,5.404391015475666e-05,0.1105595271383217,0.0523568149751551,0.18276565049233,-0.7711050090295632,88.28822300161313,0.1272815556394902,0.029248295839154,0.1265986351659429,0.0292399584156408,0.0001536504021794
neutral,136,58,78,0.2007407596734374,0.0191131561987888,0.2348218119364533,4.029685259426877,0.066688823693163,0.1148431157713363,0.0665901353115929,0.1143408788258744,-4.691647338076605,6.8934869160710895e-06,-0.8053326272165161,-0.0446126675437428,0.0111378951899067,0.0001024336014529,0.0188540688788301,0.3831451500334891,0.1436045837260027,-0.7510337298282718,93.25758133307993,0.1133327170728292,0.0687200495290864,0.1128499704865073,0.0686120779243149,0.0001536504021794
