segment,model,group_beta,se,ci_low,ci_high,p,n,mean_gaze_asd,sd_gaze_asd,mean_gaze_td,sd_gaze_td,gaze_group_p
mental,base,-0.0220608487251857,0.0608798728514438,-0.1440178889794791,0.0998961915291075,0.7184418853324795,60,0.9759868066439406,0.0465005151654373,0.9847302096175672,0.0278493808735439,0.5750646737869682
mental,gaze_adjusted,-0.0306316522002155,0.0618614192460926,-0.1546047067272104,0.0933414023267792,0.6224557055803547,60,0.9759868066439406,0.0465005151654373,0.9847302096175672,0.0278493808735439,0.5750646737869682
pain,base,0.0302155899259646,0.0545369923190944,-0.079035133771139,0.1394663136230682,0.5817582968012078,60,0.9770009250729836,0.0592486234941695,0.9887364227250685,0.0285786984187177,0.1957917807698433
pain,gaze_adjusted,0.0274661731337213,0.0550323326446747,-0.0828210860150719,0.1377534322825147,0.6197053780482258,60,0.9770009250729836,0.0592486234941695,0.9887364227250685,0.0285786984187177,0.1957917807698433
neutral,base,0.0906563000508241,0.0323990172520011,0.0258026207483701,0.155509979353278,0.0069654507488288,62,0.9789103825195908,0.0338413242676427,0.985754441220079,0.0280428734940084,0.2185083818218097
neutral,gaze_adjusted,0.0906659661006477,0.0327369462237942,0.0251113620448326,0.1562205701564629,0.0075631123915153,62,0.9789103825195908,0.0338413242676427,0.985754441220079,0.0280428734940084,0.2185083818218097
