segment,group,mean_isc,se,ci_low,ci_high,n,comparison_p,fdr_p,isc_definition
mentalizing,ASD,0.0674432774827369,,,,136,0.4498155085968643,0.4907078275602157,within_group_loo
mentalizing,TD,0.0850001196887631,,,,136,0.4498155085968643,0.4907078275602157,within_group_loo
pain,ASD,0.0206381946168691,,,,136,3.496179664081898e-06,2.097707798449139e-05,within_group_loo
pain,TD,0.1336839385996507,,,,136,3.496179664081898e-06,2.097707798449139e-05,within_group_loo
neutral,ASD,0.066688823693163,,,,136,6.8934869160710895e-06,2.652781741319848e-05,within_group_loo
neutral,TD,0.1148431157713363,,,,136,6.8934869160710895e-06,2.652781741319848e-05,within_group_loo
