segment,metric,isc_definition,n_asd,n_td,mean_asd,mean_td,group_effect_td_minus_asd,se,ci_low,ci_high,p,fdr_p
mentalizing,alpha_plv_isc,within_group_loo,58,78,0.11291335111615247,0.12473415773683631,0.01182080662068384,0.011620739582598133,-0.011180781278271608,0.03482239451963929,0.31103888622151543,
mentalizing,aperiodic_isc,within_group_loo,58,78,0.06744327748273696,0.08500011968876314,0.017556842206026185,0.02315339722830866,-0.028300260249823427,0.0634139446618758,0.44981550859686437,0.4907078275602157
mentalizing,envelope_isc,within_group_loo,58,78,0.07079373719658771,0.17079495544226353,0.10000121824567582,0.03636228593091746,0.028019309213730026,0.1719831272776216,0.006862910812290736,0.0117649899639269
neutral,alpha_plv_isc,within_group_loo,58,78,0.050180736858370316,0.05447015315004181,0.004289416291671497,0.005339368776814787,-0.006275206489636521,0.014854039072979514,0.4232546478671224,
neutral,aperiodic_isc,within_group_loo,58,78,0.06668882369316301,0.11484311577133631,0.0481542920781733,0.010263834557077923,0.02784425771482191,0.0684643264415247,6.8934869160710895e-06,2.652781741319848e-05
neutral,envelope_isc,within_group_loo,58,78,0.15054714367347538,0.33839118716305455,0.18784404348957917,0.03768411384252702,0.1131853220385517,0.26250276494060665,2.256801914334198e-06,2.097707798449139e-05
pain,alpha_plv_isc,within_group_loo,58,78,0.11506046100484774,0.11546998713101832,0.00040952612617058126,0.010723914602655761,-0.020806453199701137,0.0216255054520423,0.9695962740732531,
pain,aperiodic_isc,within_group_loo,58,78,0.02063819461686916,0.13368393859965072,0.11304574398278155,0.02310695140337809,0.0672443388811663,0.15884714908439682,3.496179664081898e-06,2.097707798449139e-05
pain,envelope_isc,within_group_loo,58,78,0.03621454406540539,0.17200098030498134,0.13578643623957595,0.03259738444538619,0.07131440108163295,0.20025847139751896,5.531692828749576e-05,0.0001327606278899
