segment,asd_mean_delta,td_mean_delta,p_group_diff,n
mental,0.07152757056861078,-0.04463128652578377,0.00030286886131173697,129
pain,0.08220220414834829,-0.04210520500933639,9.95186323401274e-05,129
neutral,0.07764754587003189,-0.0955872396274859,0.00019277895090298968,136
