channel,topomap_x,topomap_y,beta_td_minus_asd,p_raw,q_fdr,is_posterior_cluster
E41,0.028344553236415947,-0.0034024889950949287,0.0513453792952501,0.1398718160018749,0.2632881242388234,False
E42,0.04479690925653421,-0.028476035607897444,0.0690405288502236,0.0497856266824594,0.1231884647642015,False
E43,0.056232149969615224,-0.060837905725546294,0.1060919721033686,0.0683047211310656,0.1561250768710072,False
E44,0.053559363604099006,-0.048311826976680516,0.0725943165942858,0.1896640337943557,0.3181593846400334,False
E45,0.05318377848302631,-0.033208106050314656,0.082827884128519,0.0462692100274409,0.1231884647642015,False
E46,0.052663590769443394,-0.01803528029906817,0.0946708373847654,0.0333609489187912,0.113191558263211,False
E47,0.06984500423842799,-0.0396546494440601,0.1101542619218731,0.0406782162508414,0.113191558263211,False
E48,0.05994457196438001,-0.014539917662805152,-0.0119476690940611,0.8377015227534166,0.8509983723209311,False
E49,0.05359004675658456,-0.0005096786892179342,0.0199829903198704,0.7177732349375856,0.7530735579673029,False
E5,0.02496851140948527,0.08548324776546808,0.1053183468577912,0.2353313940152727,0.3423002094767604,False
E50,0.040844771892944116,0.008872647384362782,0.0422540966650655,0.2522689825835771,0.3562261155187304,False
E51,0.02689310124456113,0.014443334302383868,0.0455590586333599,0.1606016005097978,0.2855139564618628,False
E52,0.06726628059747358,-0.015099514188383746,0.0254475016591281,0.6304851637746948,0.6957077669238011,False
E53,0.03578462866049454,0.02692383786385812,0.0468249694200641,0.2560375205290874,0.3562261155187304,False
E54,0.017885542685265442,0.03132072249013169,0.0401336985930368,0.2237884112961207,0.3330804261151564,False
E55,0.07951461698600491,0.013974501622553277,0.1602965692360765,0.0067039996605355,0.0536319972842843,False
E56,0.05684912796245359,0.028926300245264287,-0.025240274112198,0.7165036117887713,0.7530735579673029,False
E57,0.043760880598318695,0.03843671108958216,0.0424599546801682,0.4462514408142206,0.5492325425405793,False
E58,0.06023486139715975,0.0409612301173894,0.071373041726855,0.2015536793543656,0.3181593846400334,False
E59,0.04768930231997245,0.05022827804527653,0.1506379495816299,0.0099932811117008,0.0639569991148855,False
E6,4.298937925271695e-18,0.07020698422214115,0.0525008487773119,0.3697168673829651,0.4971932035308666,False
E60,0.03593258786645944,0.05398969543015077,0.1159254164436275,0.0621045117864036,0.1472106946048087,False
E61,0.07915381440324587,0.05624965917341603,0.0506325559694487,0.4142710269051155,0.5198695239593607,False
E62,0.062331173521897106,0.10414224255998604,0.1460056199805728,0.1111184295281674,0.2186585031873885,False
E63,-0.06233117352189712,0.10414224255998604,0.2768850159316126,0.0165405527997096,0.081430413783186,False
E64,-0.07915381440324587,0.05624965917341603,0.016624451725274,0.8102500799315014,0.8363871792841305,False
E7,-0.017885542685265435,0.031320722490131694,0.0465552853916943,0.1127457907059972,0.2186585031873885,False
E8,5.080155480814714e-18,0.08296523510863242,0.127914924414906,0.0395539828795601,0.113191558263211,False
E9,-0.02301651356571853,0.06322721329252798,0.0688046750025433,0.2038208557850214,0.3181593846400334,False
