cohort,model,term,coef,se,pvalue,n_obs,used_mixedlm
hbn_matched,mixed_no_cov,Intercept,2.1951537710074924,0.045822204734358774,1.5512932560130414e-177,448,False
hbn_matched,mixed_no_cov,C(state)[T.movie],-0.09122962095686171,0.06480238339316688,0.1598862640347032,448,False
hbn_matched,mixed_no_cov,C(group)[T.TD],0.16466055310613395,0.06480238339316706,0.011394047891180932,448,False
hbn_matched,mixed_no_cov,C(state)[T.movie]:C(group)[T.TD],-0.313769959741181,0.09164440946871766,0.0006748816315958005,448,False
hbn_matched,mixed_covariates,Intercept,2.305366570646018,0.2176562089206254,1.651271601387505e-23,448,False
hbn_matched,mixed_covariates,C(state)[T.movie],-0.0912296209568666,0.06402173861207956,0.15487064117978858,448,False
hbn_matched,mixed_covariates,C(group)[T.TD],0.16784320527642177,0.06471330102903536,0.00981241334312394,448,False
hbn_matched,mixed_covariates,C(sex)[T.M],-0.23269527941988505,0.06276605478144563,0.00023612750160196391,448,False
hbn_matched,mixed_covariates,C(state)[T.movie]:C(group)[T.TD],-0.3137699597411804,0.09054041103190812,0.0005810162952665455,448,False
hbn_matched,mixed_covariates,age_months,-0.0005223552586277836,0.0014639633477604534,0.721405481394038,448,False
hbn_matched,mixed_covariates,IQ_total,-0.00023734009623831154,0.0012806350849077545,0.8530554171711142,448,False
hbn_matched,ols_cluster_robust,Intercept,2.305366570646018,0.2402399896733993,8.302800497624164e-22,448,False
hbn_matched,ols_cluster_robust,C(state)[T.movie],-0.0912296209568666,0.05964817615565722,0.12614994354595685,448,False
hbn_matched,ols_cluster_robust,C(group)[T.TD],0.16784320527642177,0.07754086798324995,0.03042006836717613,448,False
hbn_matched,ols_cluster_robust,C(sex)[T.M],-0.23269527941988505,0.07609439497867823,0.002228330653657933,448,False
hbn_matched,ols_cluster_robust,C(state)[T.movie]:C(group)[T.TD],-0.3137699597411804,0.08245316494824251,0.00014155657390594757,448,False
hbn_matched,ols_cluster_robust,age_months,-0.0005223552586277836,0.0017450045978603405,0.7646781967291525,448,False
hbn_matched,ols_cluster_robust,IQ_total,-0.00023734009623831154,0.0011943832888760707,0.8424868549192558,448,False
hbn_full,mixed_no_cov,Intercept,2.1951537710074924,0.045822204734358774,1.5512932560130414e-177,448,False
hbn_full,mixed_no_cov,C(state)[T.movie],-0.09122962095686171,0.06480238339316688,0.1598862640347032,448,False
hbn_full,mixed_no_cov,C(group)[T.TD],0.16466055310613395,0.06480238339316706,0.011394047891180932,448,False
hbn_full,mixed_no_cov,C(state)[T.movie]:C(group)[T.TD],-0.313769959741181,0.09164440946871766,0.0006748816315958005,448,False
hbn_full,mixed_covariates,Intercept,2.305366570646018,0.2176562089206254,1.651271601387505e-23,448,False
hbn_full,mixed_covariates,C(state)[T.movie],-0.0912296209568666,0.06402173861207956,0.15487064117978858,448,False
hbn_full,mixed_covariates,C(group)[T.TD],0.16784320527642177,0.06471330102903536,0.00981241334312394,448,False
hbn_full,mixed_covariates,C(sex)[T.M],-0.23269527941988505,0.06276605478144563,0.00023612750160196391,448,False
hbn_full,mixed_covariates,C(state)[T.movie]:C(group)[T.TD],-0.3137699597411804,0.09054041103190812,0.0005810162952665455,448,False
hbn_full,mixed_covariates,age_months,-0.0005223552586277836,0.0014639633477604534,0.721405481394038,448,False
hbn_full,mixed_covariates,IQ_total,-0.00023734009623831154,0.0012806350849077545,0.8530554171711142,448,False
hbn_full,ols_cluster_robust,Intercept,2.305366570646018,0.24023998967340077,8.302800497628993e-22,448,False
hbn_full,ols_cluster_robust,C(state)[T.movie],-0.0912296209568666,0.05964817615565721,0.12614994354595685,448,False
hbn_full,ols_cluster_robust,C(group)[T.TD],0.16784320527642177,0.07754086798324995,0.03042006836717613,448,False
hbn_full,ols_cluster_robust,C(sex)[T.M],-0.23269527941988505,0.07609439497867823,0.002228330653657933,448,False
hbn_full,ols_cluster_robust,C(state)[T.movie]:C(group)[T.TD],-0.3137699597411804,0.08245316494824248,0.0001415565739059472,448,False
hbn_full,ols_cluster_robust,age_months,-0.0005223552586277836,0.0017450045978603405,0.7646781967291525,448,False
hbn_full,ols_cluster_robust,IQ_total,-0.00023734009623831154,0.0011943832888760759,0.8424868549192565,448,False
