label,n,n_asd,n_td,asd_delta,td_delta,F,p,np2,ols_beta,ols_p
dual_paradigm_N136,136,61,75,0.08655902517073519,-0.08733981898498377,16.780528844017887,7.22207781163635e-05,0.111291086273993,-0.17389884415571777,0.0001020940256811312
movie_isc_overlap_N104,104,45,59,0.08635528730494026,-0.03035462360961612,14.896373038020995,0.00019938004070777795,0.1274322945261603,-0.11670991091455474,0.00024251602323279537
age12_iq15_sex_matched_N72_pairs36,72,36,36,0.13817390856586342,-0.044859715498987734,8.406635519851992,0.00499025878477267,0.10721841925896047,-0.18303362406485174,0.004403780824300727
age24_iq15_sex_matched_N74_pairs37,74,37,37,0.11966893821662675,-0.07515605170086283,9.065967845398328,0.0035897590884943417,0.1118344489846605,-0.19482498991748998,0.0030889402707712814
age24_iq15_nomatchsex_N84_pairs42,84,42,42,0.11041226251891934,-0.0984849702274494,12.636296543054563,0.0006311426282929074,0.1335248419965981,-0.208897232746368,0.0004641939013182201
