Source,SS,DF1,DF2,MS,F,p_unc,np2,eps
group,0.08932518969553818,1,134,0.08932518969553818,1.7572867653101432,0.18721882665069658,0.012944327388835088,
state,0.005933383476454693,1,134,0.005933383476454693,0.19574581075292175,0.658890145999586,0.0014586588387754756,1.0
Interaction,0.5086459433604045,1,134,0.5086459433604045,16.780528844017887,7.22207781163635e-05,0.111291086273993,
