metric,model,beta_TD_minus_ASD,SE,ci_low,ci_high,p,n
global_exponent,Primary,0.0790819009578286,0.031013207807578,0.0177347105098768,0.1404290914057803,0.0119166174375124,138
global_offset,Primary,0.0595594084631701,0.0354239276388767,-0.010512621775044,0.1296314387013842,0.0950628831058273,138
posterior_exponent,Primary,0.1328997063307847,0.0337651824297216,0.0661088380698168,0.1996905745917526,0.0001333728583788,138
