analysis,segment,estimate,SE,ci_low,ci_high,p,FDR_q,n,note,p_GG_corr
TD-template Aperiodic-ISC group comparison,mentalizing,-0.0516096611128002,,,,0.0222884005773524,0.0222884005773524,136,movie_isc_group_stats_with_neutral.csv; manuscript uses FDR across segments,
TD-template Aperiodic-ISC group comparison,pain,-0.07473101921571751,,,,0.0013906335223511,0.0013906335223511,136,movie_isc_group_stats_with_neutral.csv; manuscript uses FDR across segments,
TD-template Aperiodic-ISC group comparison,neutral,-0.052087631093517606,,,,8.84260580439956e-06,8.84260580439956e-06,136,movie_isc_group_stats_with_neutral.csv; manuscript uses FDR across segments,
repeated-measures mixed ANOVA (ISC group main),all,0.3583288331367167,,,,1.1476871391168373e-06,,136,"pingouin mixed_anova dv=isc_z on fig5_movie_isc_lmm_long; F=25.985; Prior WARN source: movie_event_mixed_anova.csv is event-related EXPONENT (group p≈0.71), not Aperiodic-ISC — do not use for Fig5 ISC panels.",
repeated-measures mixed ANOVA (ISC segment main),all,0.05540443474301063,,,,0.009585412826066377,,136,"pingouin mixed_anova dv=isc_z on fig5_movie_isc_lmm_long; F=4.729; Prior WARN source: movie_event_mixed_anova.csv is event-related EXPONENT (group p≈0.71), not Aperiodic-ISC — do not use for Fig5 ISC panels.",0.012106018676198758
repeated-measures mixed ANOVA (ISC group×segment),all,0.006024165395422276,,,,0.5985717893580471,,136,"pingouin mixed_anova dv=isc_z on fig5_movie_isc_lmm_long; F=0.514; Prior WARN source: movie_event_mixed_anova.csv is event-related EXPONENT (group p≈0.71), not Aperiodic-ISC — do not use for Fig5 ISC panels.",
