outcome,partial_r,partial_spearman_rho,ci_low,ci_high,raw_p,FDR_q,n,covariates,note
ADOS total,-0.3449394189368755,-0.2787996665740483,-0.534721207058491,-0.0316739997888017,0.0069534183175982,0.0069534183175982,60,age_months+IQ_total,primary_total
ADOS total,-0.3449394189368755,-0.2787996665740483,-0.534721207058491,-0.0316739997888017,0.0069534183175982,0.0104301274763973,60,age_months+IQ_total,domain_framework
ADOS Social Affect,-0.4473789887171122,-0.272242289524868,-0.5257723363788821,-0.0017185283053081,0.000338571828863,0.0010157154865892,60,age_months+IQ_total,domain_framework
ADOS Restricted and Repetitive Behavior,-0.0666848944564395,-0.1767713253681578,-0.4484226778312515,0.0689037824472445,0.6126901802061574,0.6126901802061574,60,age_months+IQ_total,domain_framework
