model,outcome,term,coef,std_err,pvalue,ci_low,ci_high,n_obs,r_squared,used_mixedlm,method,formula,n_subjects
frontal_vs_posterior_mixed,exponent,C(group)[T.TD],0.1022525986427514,0.031415014786229,0.0011343398941,0.0406803010879492,0.1638248961975537,276,0.3162033900627339,False,ols_cluster_subject,exponent ~ C(group) * C(region) + age_months + C(sex) + IQ_total + usable_epochs + mean_r_squared,138
frontal_vs_posterior_mixed,exponent,C(region)[T.frontal],-0.104266186936723,0.0291692529178562,0.0003508659825098,-0.1614368721116611,-0.0470955017617849,276,0.3162033900627339,False,ols_cluster_subject,exponent ~ C(group) * C(region) + age_months + C(sex) + IQ_total + usable_epochs + mean_r_squared,138
frontal_vs_posterior_mixed,exponent,C(group)[T.TD]:C(region)[T.frontal],-0.0020855787588828,0.0354531540818972,0.9530904405683214,-0.0715724838977505,0.0674013263799849,276,0.3162033900627339,False,ols_cluster_subject,exponent ~ C(group) * C(region) + age_months + C(sex) + IQ_total + usable_epochs + mean_r_squared,138
