estimate,n_splits,mean_beta,median_beta,std_beta,ci95_low,ci95_high,prop_beta_positive,prop_p_lt_05
train_selected_ROI_holdout,200,0.09259832437113358,0.08639561534299661,0.06354332395533302,-0.014788858013191764,0.20627490522601297,0.945,0.165
train_selected_ROI_insample,200,0.17541499218398077,0.17139963569464234,0.03353902696300139,0.1229158054399458,0.23686524986991128,1.0,0.995
fixed_posterior_core_holdout,200,0.13679242321162652,0.13684207284957112,0.04961960673299554,0.03817062997654922,0.22800216527755515,1.0,0.55
selection_includes_all_posterior_core,200,0.16,,,,,,
mean_n_overlap_posterior_core,200,1.65,1.0,1.3809544438102934,,,,
prop_selection_rule_fdr,200,0.47,,,,,,
