cohort,roi,model,analysis,n,n_asd,n_td,beta_td_minus_asd,se,ci_low,ci_high,p,unadj_delta,unadj_p,mean_iq_asd,mean_iq_td,note
matched_HBN,posterior,isc_z ~ C(group) + IQ_total,sliding_window,238,119,119,0.0311060596871629,0.0138495687896342,0.0038208848566443,0.0583912345176815,0.0256342232777521,0.0352564463162644,0.0099387987916391,95.97478991596638,103.77310924369748,Residual-FSIQ-adjusted sensitivity; beta = TD - ASD
matched_HBN,posterior,isc_z ~ C(group) + IQ_total,nonoverlapping_2s_epoch,238,119,119,0.0387036745596676,0.0212505965493318,-0.0031623395313491,0.0805696886506843,0.0698329996288562,0.0499843719299645,0.0181117163317081,95.97478991596638,103.77310924369748,Residual-FSIQ-adjusted sensitivity; beta = TD - ASD
