estimate,n_splits,mean_beta,median_beta,std_beta,ci95_low,ci95_high,prop_beta_positive,prop_p_lt_05
train_selected_ROI_holdout,5,0.08110787598547436,0.10500092944905609,0.06452097388187109,-0.015325052026376152,0.13429397330517473,0.8,0.0
train_selected_ROI_insample,5,0.15220896964598205,0.15453534325208795,0.014918645638310288,0.13671130026241052,0.17005776412536472,1.0,1.0
fixed_posterior_core_holdout,5,0.12218508509264199,0.11018629738172588,0.0917639890919587,0.03937639433660782,0.2590005144592288,1.0,0.2
selection_includes_all_posterior_core,5,0.4,,,,,,
mean_n_overlap_posterior_core,5,2.0,1.0,1.8708286933869707,,,,
prop_selection_rule_fdr,5,0.8,,,,,,
