analysis,region,outcome,term,coef,se,p,ci_low,ci_high,n,formula,fdr_q,fdr_significant
group_age_interaction,frontal,frontal_exponent,C(group)[T.TD]:age_months,0.0019667063752444223,0.0020838445759582998,0.3470156538591107,-0.002155635274642629,0.006089048025131473,138,frontal_exponent ~ C(group) * age_months + C(sex) + IQ_total + usable_epochs,0.3470156538591107,False
group_age_interaction,posterior,posterior_exponent,C(group)[T.TD]:age_months,0.0051724397832426175,0.001491050439113921,0.0007075502243719333,0.002222786340679589,0.008122093225805645,138,posterior_exponent ~ C(group) * age_months + C(sex) + IQ_total + usable_epochs,0.0014151004487438666,True
