model,segment,segment_label,formula,n,n_asd,n_td,beta_td_minus_asd,se,ci_low,ci_high,p_group,term,r_squared,asd_mean_isc_z,td_mean_isc_z,welch_t,welch_p,fdr_q_group,fdr_significant
Sensitivity_A_demographics,mental,mentalizing,isc_z ~ C(group) + age_months + C(sex) + IQ_total,136,58,78,0.06681424383190163,0.0274226611895206,0.012565678619059127,0.12106280904474412,0.016175155438716268,C(group)[T.TD],0.05085227801271841,0.03319853039242305,0.08500011968876314,2.3153122511508197,0.02228840057735242,0.024262733158074402,True
Sensitivity_A_demographics,pain,pain-related,isc_z ~ C(group) + age_months + C(sex) + IQ_total,136,58,78,0.055872839700928933,0.027519698354871096,0.0014323118278542699,0.11031336757400359,0.04435190698503364,C(group)[T.TD],0.09202342673210073,0.05822791650976031,0.13368393859965072,3.281062863662246,0.001390633522351113,0.04435190698503364,True
Sensitivity_A_demographics,neutral,neutral,isc_z ~ C(group) + age_months + C(sex) + IQ_total,136,58,78,0.0602295389483608,0.013714107246510107,0.03309976346243811,0.08735931443428349,2.2969003294114916e-05,C(group)[T.TD],0.15357588558555357,0.06233385538360453,0.11484311577133631,4.650373755769001,8.842605804399493e-06,6.890700988234475e-05,True
Sensitivity_B_plus_valid_windows,mental,mentalizing,isc_z ~ C(group) + age_months + C(sex) + IQ_total + n_overlap_points,136,58,78,0.0656918609800262,0.027621290547353967,0.01104644098853088,0.12033728097152152,0.018848038198799825,C(group)[T.TD],0.052307529035192424,0.03319853039242305,0.08500011968876314,2.3153122511508197,0.02228840057735242,0.02827205729819974,True
Sensitivity_B_plus_valid_windows,pain,pain-related,isc_z ~ C(group) + age_months + C(sex) + IQ_total + n_overlap_points,136,58,78,0.053399542992399435,0.027620773651158986,-0.0012448543817920946,0.10804394036659096,0.0553717691449099,C(group)[T.TD],0.09927627584278809,0.05822791650976031,0.13368393859965072,3.281062863662246,0.001390633522351113,0.0553717691449099,False
Sensitivity_B_plus_valid_windows,neutral,neutral,isc_z ~ C(group) + age_months + C(sex) + IQ_total + n_overlap_points,136,58,78,0.059883391931638726,0.013729091112220445,0.03272202709089772,0.08704475677237973,2.6024368938128973e-05,C(group)[T.TD],0.15885636146028326,0.06233385538360453,0.11484311577133631,4.650373755769001,8.842605804399493e-06,7.807310681438692e-05,True
Sensitivity_B_extended_windows_r2,mental,mentalizing,isc_z ~ C(group) + age_months + C(sex) + IQ_total + n_overlap_points + mean_movie_r_squared,136,58,78,0.06360664790961393,0.027859793755547254,0.008485363637278177,0.11872793218194969,0.024060347160027203,C(group)[T.TD],0.05551626002354304,0.03319853039242305,0.08500011968876314,2.3153122511508197,0.02228840057735242,0.03609052074004081,True
Sensitivity_B_extended_windows_r2,pain,pain-related,isc_z ~ C(group) + age_months + C(sex) + IQ_total + n_overlap_points + mean_movie_r_squared,136,58,78,0.052291440002995106,0.02783990085472169,-0.002790485677851111,0.10737336568384132,0.06259859354573657,C(group)[T.TD],0.10045771691567906,0.05822791650976031,0.13368393859965072,3.281062863662246,0.001390633522351113,0.06259859354573657,False
Sensitivity_B_extended_windows_r2,neutral,neutral,isc_z ~ C(group) + age_months + C(sex) + IQ_total + n_overlap_points + mean_movie_r_squared,136,58,78,0.05956885919369535,0.013752755170607893,0.03235869626361367,0.08677902212377703,2.9508469554939567e-05,C(group)[T.TD],0.1631143382534851,0.06233385538360453,0.11484311577133631,4.650373755769001,8.842605804399493e-06,8.852540866481871e-05,True
