roi,segment,n_asd,n_td,mean_asd,mean_td,delta_td_minus_asd,t,p,fdr_q,fdr_significant
frontal,mental,57,68,0.20120635796061467,0.30718288411882866,0.10597652615821399,3.1380164171223885,0.00220769751683813,0.00441539503367626,True
frontal,neutral,57,68,0.21151936275019428,0.276285140075693,0.06476577732549871,3.2268277118336655,0.0016704278086495318,0.00441539503367626,True
frontal,pain,57,68,0.2317399913466636,0.32598372207887316,0.09424373073220957,2.822877988084282,0.0056642666839613965,0.008496400025942095,True
posterior,mental,57,68,0.04053383788642391,0.06499851196258237,0.02446467407615846,1.217685102136384,0.22570724702768627,0.22570724702768627,False
posterior,neutral,57,68,0.05157524368590556,0.09534891419365511,0.04377367050774955,5.0559204317871425,2.062540049879683e-06,1.23752402992781e-05,True
posterior,pain,57,68,0.06384484147876777,0.10056613672006168,0.0367212952412939,1.78313905571196,0.07745564185995968,0.09294677023195161,False
