model,outcome,term,coef,std_err,pvalue,ci_low,ci_high,n_obs,r_squared,used_mixedlm,method,formula,n_subjects
frontal_vs_posterior_mixed,exponent,C(group)[T.TD],0.1247074656890304,0.0380726596039029,0.0010547051301352,0.0500864240697276,0.1993285073083333,276,,True,mixedlm_reml,exponent ~ C(group) * C(region) + age_months + C(sex) + IQ_total + usable_epochs,138
frontal_vs_posterior_mixed,exponent,C(region)[T.frontal],-0.1042661869367241,0.0254478032264707,4.18074876596016e-05,-0.1541429647462689,-0.0543894091271793,276,,True,mixedlm_reml,exponent ~ C(group) * C(region) + age_months + C(sex) + IQ_total + usable_epochs,138
frontal_vs_posterior_mixed,exponent,C(group)[T.TD]:C(region)[T.frontal],-0.0020855787588843,0.0340678305602559,0.9511852602265032,-0.0688572996883989,0.0646861421706303,276,,True,mixedlm_reml,exponent ~ C(group) * C(region) + age_months + C(sex) + IQ_total + usable_epochs,138
