channel,beta_TD_minus_ASD,SE,p,q,is_posterior_roi,x,y
E1,0.153257934704253,0.06083831979709846,0.0130586450761366,0.0696461070727288,False,0.06464045494794846,0.06166049838066101
E10,0.0299262795954723,0.07717568646571502,0.6989800705269845,0.7530735579673029,False,-0.030103998258709908,0.0992313027381897
E11,0.1207145334221316,0.056420192790615144,0.0344676212360132,0.113191558263211,False,-0.04315696656703949,0.08526404201984406
E12,0.1027390634670727,0.05656888810021896,0.0717397926923748,0.1583223011142064,False,-0.04980526119470596,0.06724813580513
E13,0.1688122373730771,0.059481426483212474,0.0053175375778798,0.0536319972842843,False,-0.06346629559993744,0.060906849801540375
E14,0.1578571122484773,0.056780346266844375,0.0062344343391489,0.0536319972842843,False,-0.061948731541633606,0.04643747955560684
E15,0.0548517236309841,0.03969455528613735,0.1693712278114062,0.2929664481062162,False,-0.053187232464551926,0.03013109788298607
E16,0.0747591832680293,0.032545826902531536,0.0232025519408999,0.0989975549478397,False,-0.041273586452007294,0.01072647888213396
E17,0.148507579585858,0.07504016729643398,0.0500453138104568,0.1231884647642015,False,-0.06464045494794846,0.06166049838066101
E18,0.1006628536335214,0.06914077764251148,0.1479241378049936,0.270489851986274,False,-0.07146906107664108,0.04609573259949684
E19,0.074276126597159,0.060712106920168395,0.2234926326016037,0.3330804261151564,False,-0.07621430605649948,0.033153221011161804
E2,0.1221731070317203,0.07152879663714541,0.0903293971972516,0.1927027140208035,False,0.04315696656703949,0.08526404201984406
E20,0.0464986426465093,0.03636221563612646,0.2032413932492859,0.3181593846400334,False,-0.06119440123438835,0.0031824870966374874
E21,0.0746067463953381,0.029407187469587495,0.0123619406546969,0.0696461070727288,False,-0.043668270111083984,-0.01696571335196495
E22,0.0398762862775271,0.04714434988110301,0.3992116625270706,0.5109909280346504,False,-0.07711999863386154,-0.00894556101411581
E23,0.1063371707526687,0.06440981533976818,0.1012009519294561,0.2089309975317804,False,-0.0764014720916748,0.01427897997200489
E24,0.0412704782925848,0.08530102476304156,0.6294325122254149,0.6957077669238011,False,-0.0815826803445816,-0.020843328908085823
E25,-0.032738951749939,0.05926790555878572,0.5816525823863645,0.6647458084415595,False,-0.0816708356142044,-0.025671932846307755
E26,0.0057222230531107,0.03857542441651922,0.8823036758351064,0.8823036758351064,False,-0.07524658739566803,-0.03363790735602379
E27,0.0348269553461235,0.038951902749289787,0.3728949026481499,0.4971932035308666,False,-0.07324423640966415,-0.05212441831827164
E28,0.0668691728094035,0.032047306960621795,0.0388652798730816,0.113191558263211,False,-0.06512700021266937,-0.050201017409563065
E29,0.0334828175453771,0.0602886505718225,0.5796150597941327,0.6647458084415595,False,-0.07349450141191483,-0.04176570847630501
E3,0.0402355835221227,0.06720040868621262,0.5504126203159895,0.652340883337469,False,0.03204099461436272,0.07980780303478241
E30,0.030474444590473,0.04512370581012379,0.5006508094855562,0.6045594680580301,False,-0.06739987432956696,-0.06428422033786774
