roi,contrast_or_model,beta,SE,ci_low,ci_high,p,q,n
central,group_x_region_interaction,0.0261796658993146,0.0337813930033241,,,0.4383556417767648,,138
frontal,group_x_region_interaction,0.0829162265635562,0.0244901982286318,,,0.0007099946253885,,138
occipital,group_x_region_interaction,0.0814252260061786,0.0243341505520292,,,0.0008194802865448,,138
parietal,group_x_region_interaction,0.0461971943632308,0.0243341505520292,,,0.0576366864216689,,138
temporal,group_x_region_interaction,0.0559905733592801,0.0243341505520292,,,0.0213969905552989,,138
