analysis,group,mean,SE,ci_low,ci_high,n,test_stat,p,effect_label,diff_se,diff_ci_low,diff_ci_high
sliding-window posterior Aperiodic-ISC,ASD,0.0452098031754563,0.009592164716454498,0.026409160331205484,0.06401044601970712,119,-2.599003771067935,0.0099387987916391,Δz=-0.035,0.013565369434526625,-0.06184457040793659,-0.008668322224592215
sliding-window posterior Aperiodic-ISC,TD,0.0804662494917207,0.009592164716454498,0.06166560664746988,0.09926689233597151,119,-2.599003771067935,0.0099387987916391,Δz=-0.035,0.013565369434526625,-0.06184457040793659,-0.008668322224592215
non-overlapping 2-s epoch,ASD,0.0863967259036281,0.014850840288828805,0.057289078937523635,0.11550437286973256,119,-2.3799520873990807,0.0181117163317081,Δz=-0.050,0.02100225974909847,-0.0911488010381976,-0.008819942821731597
non-overlapping 2-s epoch,TD,0.1363810978335927,0.014850840288828805,0.10727345086748824,0.16548874479969716,119,-2.3799520873990807,0.0181117163317081,Δz=-0.050,0.02100225974909847,-0.0911488010381976,-0.008819942821731597
