segment,group,lag_index,lag_seconds,mean_isc_r,se_isc_r,n_subjects,note
neutral,ASD,1,-4.5,-0.007873033707865167,0.014888434763052821,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,2,-4.0,-0.008779775280898875,0.013309160636311528,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,3,-3.5,0.006730337078651686,0.013043133381507673,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,4,-3.0,-0.006358426966292135,0.011769068895129135,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,5,-2.5,0.00533932584269663,0.013427714545718155,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,6,-2.0,0.04425168539325843,0.01302183776253915,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,7,-1.5,0.024479775280898876,0.011606887042290914,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,8,-1.0,0.04771123595505618,0.01284875049451033,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,9,-0.5,0.031675280898876404,0.011362287683908423,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,10,0.0,0.055692134831460675,0.011785413807442812,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,11,0.5,0.032338202247191014,0.013091030046770162,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,12,1.0,0.009026966292134831,0.012284000340349566,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,13,1.5,0.021279775280898874,0.012236405516685962,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,14,2.0,0.0028123595505617966,0.01310169394074748,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,15,2.5,0.01532808988764045,0.01447273236455109,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,16,3.0,0.006525842696629215,0.012797113830486297,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,17,3.5,0.029157303370786515,0.013355882362708875,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,18,4.0,-0.0008808988764044932,0.011067896119210257,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,19,4.5,0.009852808988764046,0.013508955914980615,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,ASD,20,5.0,0.007480898876404494,0.014291115431512848,89,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,0,-5.0,-0.027006185567010312,0.012501517847229872,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,1,-4.5,0.0023989690721649476,0.012434539636709579,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,2,-4.0,-0.027946391752577324,0.01194629871415842,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,3,-3.5,-0.013782474226804124,0.012347405191804292,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,4,-3.0,-0.013150515463917526,0.012656965854025372,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,5,-2.5,-0.0391,0.012749444432340312,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,6,-2.0,0.008490721649484535,0.011065695058869925,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,7,-1.5,0.05394536082474227,0.012748216978336935,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,8,-1.0,0.027744329896907213,0.013037768208081613,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,9,-0.5,0.0337340206185567,0.010459855438167714,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,10,0.0,0.12467216494845361,0.011225756212355385,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,11,0.5,0.033361855670103094,0.012293895375146883,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,12,1.0,0.026350515463917527,0.012719315388128365,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,13,1.5,0.053837113402061855,0.010693907975226806,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,14,2.0,0.005275257731958765,0.013100589477350042,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,15,2.5,-0.03394948453608247,0.012507924989818514,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,16,3.0,-0.012801030927835052,0.012348049595460537,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,17,3.5,-0.01004742268041237,0.012236271595270725,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,18,4.0,-0.0266979381443299,0.013026997556372039,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,19,4.5,0.0018979381443298968,0.012254318263653795,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
neutral,TD,20,5.0,-0.024914432989690722,0.01362331565219354,97,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,0,-5.0,-0.009268493150684934,0.023734607114366455,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,1,-4.5,0.013017808219178084,0.023179663361243736,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,2,-4.0,0.031571232876712325,0.02290635446516446,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,3,-3.5,0.05176438356164383,0.02276043301759968,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,4,-3.0,0.06566849315068493,0.02326871563676754,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,5,-2.5,0.052023287671232876,0.02242333620465488,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,6,-2.0,0.03125479452054795,0.022571386251741984,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,7,-1.5,0.03134520547945205,0.02364943485163514,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,8,-1.0,0.0487013698630137,0.023689569959367815,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,9,-0.5,0.07118767123287671,0.023847738322096048,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,10,0.0,0.0809,0.0231172720025565,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,11,0.5,0.05768082191780822,0.02167639583612078,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,12,1.0,0.03456438356164384,0.021392501012759343,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,13,1.5,0.023553424657534246,0.020935015154550946,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,14,2.0,0.02684931506849315,0.02074436135113326,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,15,2.5,0.022605479452054794,0.020303722815320866,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,16,3.0,0.022967123287671233,0.021410736351338416,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,17,3.5,0.036976712328767126,0.02240279455012372,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,18,4.0,0.04062054794520548,0.022215620657849874,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,19,4.5,0.036572602739726026,0.020601978620035582,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,ASD,20,5.0,0.030321917808219176,0.019312123289817035,73,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,0,-5.0,0.005726041666666665,0.018531395789923348,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,1,-4.5,-0.0022270833333333344,0.019384876740032236,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,2,-4.0,0.0032281249999999997,0.0191115409988038,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,3,-3.5,0.024331250000000002,0.018455622943405803,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,4,-3.0,0.03941666666666667,0.017427317590260786,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,5,-2.5,0.039897916666666665,0.01709525037782801,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,6,-2.0,0.033064583333333335,0.017805365467408896,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,7,-1.5,0.046167708333333335,0.017511449418428856,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,8,-1.0,0.08076354166666667,0.017340023998837054,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,9,-0.5,0.12095416666666665,0.01694495991390709,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,10,0.0,0.14088124999999999,0.016169320792656487,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,11,0.5,0.11646458333333333,0.015606024406021235,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,12,1.0,0.07243020833333334,0.016535150299835186,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,13,1.5,0.04028333333333333,0.01611455874837939,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,14,2.0,0.03178333333333333,0.015252385466768818,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,15,2.5,0.03889895833333333,0.017140711674230584,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,16,3.0,0.037284375,0.018498767877895925,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,17,3.5,0.020997916666666668,0.01799989930400481,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,18,4.0,0.0008979166666666667,0.01717953609619971,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,19,4.5,-0.004370833333333337,0.016829433927155114,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
pain,TD,20,5.0,0.003528124999999998,0.01748518280630806,96,group mean±SE across subjects from lagged_isc_empirical lag_profile
