model,region,estimate_group_by_age,se,ci_low,ci_high,p,n_total,n_asd,n_td
Primary,posterior,0.004800296916049,0.0014434321376739,0.001944639058311,0.0076559547737869,0.0011469717605529,138,61,77
Primary regional,frontal,0.0008153012301692,0.0017660929903874,-0.0026794780792717,0.0043100805396101,0.6451284178322764,135,60,75
Primary regional,occipital,0.0050095932952289,0.0013907471979309,0.0022581662899397,0.0077610203005181,0.0004480041069034,138,61,77
Primary regional,posterior,0.004800296916049,0.0014434321376739,0.001944639058311,0.0076559547737869,0.0011469717605529,138,61,77
IQ-balanced matched,posterior,0.0048244659239804,0.0023785289923088,7.81852173229701e-05,0.0095707466306379,0.0464447802510463,76,38,38
Strict-QC OLS,posterior,0.0027078952570688,0.0018792443680379,-0.0010305204376634,0.0064463109518012,0.1534068637578949,90,44,46
Strict-QC robust (robust),posterior,0.0027008109988746,0.0017755336878317,-0.0007791710826131,0.0061807930803625,0.1282281443232796,90,44,46
