group,n_subjects,n_valid_knee,valid_percent,n_implausible_knee,implausible_percent,channel_valid_percent
all,138,90,65.21739130434783,,41.847826086956516,57.789855072463766
ASD,61,42,68.85245901639344,19.0,,60.65573770491803
TD,77,48,62.33766233766234,29.0,,55.519480519480524
