cohort,segment,median_beta,ci_low,ci_high,bootstrap_p,n_resamples
overlapping,mental,-0.2176257594031749,-0.5989664073349147,0.197007770860005,0.282,1000
overlapping,pain,0.2286078088960032,-0.0439601109783764,0.5512245941082392,0.096,1000
overlapping,neutral,0.2944243426277333,-0.0134020645618806,0.4998095042355746,0.062,1000
dual_paradigm_matched,mental,-0.023006054995376,-0.8446671293514564,0.9605610146993036,0.956,1000
dual_paradigm_matched,pain,0.391711942375395,-0.31231494379498,1.059621712504195,0.296,1000
dual_paradigm_matched,neutral,0.0653513889415219,-0.3761107765655607,0.5806645169189644,0.77,1000
