channel,is_posterior_cluster,fdr_significant,beta_TD_minus_ASD,p,q,callout_label_x,callout_label_y,callout_ha,callout_va
E33,True,True,0.1069691699564322,0.0007939043608607,0.0254049395475442,-0.052,-0.104,center,top
E36,True,True,0.1169124549715797,0.0016538100405018,0.0352812808640399,-0.018,-0.11,center,top
E37,True,True,0.1705393422955826,0.002250840490471,0.0360134478475373,0.018,-0.116,center,top
E38,True,True,0.1343483593579044,0.0001180729739147,0.0075566703305446,0.052,-0.104,center,top
